i_TradePeriodSustainedILROffer,-,-,-,-,
TP10,CPK0331,t2,i_ILROfferPrice,5.15, 
TP10,CPK0331,t3,i_ILROfferMax,0.4, 
TP10,CPK0331,t3,i_ILROfferPrice,10.29, 
TP10,HAM0331,t1,i_ILROfferMax,3.228, 
TP10,HAM0331,t1,i_ILROfferPrice,0.01, 
TP10,HIN0331,t1,i_ILROfferMax,0.5, 
TP10,HIN0331,t1,i_ILROfferPrice,0, 
TP10,ISL0331,t1,i_ILROfferMax,0, 
TP10,ISL0331,t1,i_ILROfferPrice,0, 
TP10,KAW0111,t1,i_ILROfferMax,6, 
TP10,KAW0111,t1,i_ILROfferPrice,600, 
TP10,KAW0113,t1,i_ILROfferMax,28, 
TP10,KAW0113,t1,i_ILROfferPrice,0, 
TP10,KIN0331,t1,i_ILROfferMax,0.4, 
TP10,KIN0331,t1,i_ILROfferPrice,0, 
TP10,KPU0661,t1,i_ILROfferMax,0.2, 
TP10,KPU0661,t1,i_ILROfferPrice,0, 
TP10,MPE1101,t1,i_ILROfferMax,0, 
TP10,MPE1101,t1,i_ILROfferPrice,0, 
TP10,PEN0331,t1,i_ILROfferMax,6.35, 
TP10,PEN0331,t1,i_ILROfferPrice,0.01, 
TP10,PEN0331,t2,i_ILROfferMax,3.2, 
TP10,PEN0331,t2,i_ILROfferPrice,0.45, 
TP10,PEN0331,t3,i_ILROfferMax,3.2, 
TP10,PEN0331,t3,i_ILROfferPrice,2.95, 
TP10,PRM0331,t1,i_ILROfferMax,55, 
TP10,PRM0331,t1,i_ILROfferPrice,0, 
TP10,PRM0331,t2,i_ILROfferMax,76.692, 
TP10,PRM0331,t2,i_ILROfferPrice,0.02, 
TP10,WGN0331,t1,i_ILROfferMax,0, 
TP10,WGN0331,t1,i_ILROfferPrice,0.1, 
TP10,WHI0111,t1,i_ILROfferMax,40, 
TP10,WHI0111,t1,i_ILROfferPrice,0, 
TP10,WHU0331,t1,i_ILROfferMax,0.3, 
TP10,WHU0331,t1,i_ILROfferPrice,0, 
TP10,WKO0331,t1,i_ILROfferMax,0.2, 
TP10,WKO0331,t1,i_ILROfferPrice,0, 
TP11,BOB1101,t1,i_ILROfferMax,3.789, 
TP11,BOB1101,t1,i_ILROfferPrice,0, 
TP11,CPK0331,t1,i_ILROfferMax,1.002, 
TP11,CPK0331,t1,i_ILROfferPrice,0.01, 
TP11,CPK0331,t2,i_ILROfferMax,0.6, 
TP11,CPK0331,t2,i_ILROfferPrice,5.15, 
TP11,CPK0331,t3,i_ILROfferMax,0.4, 
TP11,CPK0331,t3,i_ILROfferPrice,10.29, 
TP11,HAM0331,t1,i_ILROfferMax,4.046, 
TP11,HAM0331,t1,i_ILROfferPrice,0.01, 
TP11,HIN0331,t1,i_ILROfferMax,0.5, 
TP11,HIN0331,t1,i_ILROfferPrice,0, 
TP11,ISL0331,t1,i_ILROfferMax,0, 
TP11,ISL0331,t1,i_ILROfferPrice,0, 
TP11,KAW0111,t1,i_ILROfferMax,6, 
TP11,KAW0111,t1,i_ILROfferPrice,600, 
TP11,KAW0113,t1,i_ILROfferMax,28, 
TP11,KAW0113,t1,i_ILROfferPrice,0, 
TP11,KIN0331,t1,i_ILROfferMax,0.4, 
TP11,KIN0331,t1,i_ILROfferPrice,0, 
TP11,KPU0661,t1,i_ILROfferMax,0.2, 
TP11,KPU0661,t1,i_ILROfferPrice,0, 
TP11,MPE1101,t1,i_ILROfferMax,0, 
TP11,MPE1101,t1,i_ILROfferPrice,0, 
TP11,PEN0331,t1,i_ILROfferMax,6.8, 
TP11,PEN0331,t1,i_ILROfferPrice,0.01, 
TP11,PEN0331,t2,i_ILROfferMax,3.4, 
TP11,PEN0331,t2,i_ILROfferPrice,0.45, 
TP11,PEN0331,t3,i_ILROfferMax,3.4, 
TP11,PEN0331,t3,i_ILROfferPrice,2.95, 
TP11,PRM0331,t1,i_ILROfferMax,55, 
TP11,PRM0331,t1,i_ILROfferPrice,0, 
TP11,PRM0331,t2,i_ILROfferMax,76.872, 
TP11,PRM0331,t2,i_ILROfferPrice,0.02, 
TP11,WGN0331,t1,i_ILROfferMax,0, 
TP11,WGN0331,t1,i_ILROfferPrice,0.1, 
TP11,WHI0111,t1,i_ILROfferMax,40, 
TP11,WHI0111,t1,i_ILROfferPrice,0, 
TP11,WHU0331,t1,i_ILROfferMax,0.3, 
TP11,WHU0331,t1,i_ILROfferPrice,0, 
TP11,WKO0331,t1,i_ILROfferMax,0.2, 
TP11,WKO0331,t1,i_ILROfferPrice,0, 
TP12,BOB1101,t1,i_ILROfferMax,4.084, 
TP12,BOB1101,t1,i_ILROfferPrice,0, 
TP12,CPK0331,t1,i_ILROfferMax,1.615, 
TP12,CPK0331,t1,i_ILROfferPrice,0.01, 
TP12,CPK0331,t2,i_ILROfferMax,1, 
